#  E (eV)	   dosup(E) 	     dosdw(E)	   Int dos(E)	 EFermi =   15.3007 eV
5.3000E+00	7.7183E-03	6.4700E-03	1.4188E-02	
5.3200E+00	7.9801E-03	6.6400E-03	1.4620E-02	
5.3400E+00	8.3163E-03	6.8300E-03	1.5146E-02	
5.3600E+00	8.7260E-03	7.0600E-03	1.5786E-02	
5.3800E+00	9.1881E-03	7.3700E-03	1.6558E-02	
5.4000E+00	9.6957E-03	7.7900E-03	1.7486E-02	
5.4200E+00	1.0333E-02	8.2800E-03	1.8613E-02	
5.4400E+00	1.1076E-02	8.8300E-03	1.9906E-02	
5.4600E+00	1.1686E-02	9.4500E-03	2.1136E-02	
5.4800E+00	1.2214E-02	9.9100E-03	2.2124E-02	
5.5000E+00	1.2684E-02	1.0300E-02	2.2984E-02	
5.5200E+00	1.3104E-02	1.0700E-02	2.3804E-02	
5.5400E+00	1.3500E-02	1.1100E-02	2.4600E-02	
5.5600E+00	1.4068E-02	1.1600E-02	2.5668E-02	
5.5800E+00	1.4799E-02	1.2300E-02	2.7099E-02	
5.6000E+00	1.5687E-02	1.3100E-02	2.8787E-02	
5.6200E+00	1.6744E-02	1.4100E-02	3.0844E-02	
5.6400E+00	1.7989E-02	1.5200E-02	3.3189E-02	
5.6600E+00	1.9420E-02	1.6000E-02	3.5420E-02	
5.6800E+00	2.0500E-02	1.6700E-02	3.7200E-02	
5.7000E+00	2.1498E-02	1.7500E-02	3.8998E-02	
5.7200E+00	2.2450E-02	1.8200E-02	4.0650E-02	
5.7400E+00	2.3349E-02	1.8900E-02	4.2249E-02	
5.7600E+00	2.4226E-02	1.9700E-02	4.3926E-02	
5.7800E+00	2.5334E-02	2.0500E-02	4.5834E-02	
5.8000E+00	2.6306E-02	2.1200E-02	4.7506E-02	
5.8200E+00	2.7114E-02	2.1600E-02	4.8714E-02	
5.8400E+00	2.7690E-02	2.0800E-02	4.8490E-02	
5.8600E+00	2.6444E-02	2.1000E-02	4.7444E-02	
5.8800E+00	2.6739E-02	2.1100E-02	4.7839E-02	
5.9000E+00	2.6893E-02	2.1100E-02	4.7993E-02	
5.9200E+00	2.6881E-02	2.0300E-02	4.7181E-02	
5.9400E+00	2.5821E-02	1.8100E-02	4.3921E-02	
5.9600E+00	2.3363E-02	1.6800E-02	4.0163E-02	
5.9800E+00	2.1935E-02	1.6400E-02	3.8335E-02	
6.0000E+00	2.1514E-02	1.6400E-02	3.7914E-02	
6.0200E+00	2.1494E-02	1.6400E-02	3.7894E-02	
6.0400E+00	2.1494E-02	1.6400E-02	3.7894E-02	
6.0600E+00	2.1516E-02	1.6500E-02	3.8016E-02	
6.0800E+00	2.1618E-02	1.6600E-02	3.8218E-02	
