#  E (eV)	   dosup(E) 	     dosdw(E)	   Int dos(E)	 EFermi =   15.2027 eV
5.2000E+00	6.2380E-03	5.5000E-03	1.1738E-02	
5.2200E+00	6.4389E-03	5.6600E-03	1.2099E-02	
5.2400E+00	6.6442E-03	5.8300E-03	1.2474E-02	
5.2600E+00	6.8537E-03	6.0000E-03	1.2854E-02	
5.2800E+00	7.0677E-03	6.1800E-03	1.3248E-02	
5.3000E+00	7.2860E-03	6.3500E-03	1.3636E-02	
5.3200E+00	7.5434E-03	6.5400E-03	1.4083E-02	
5.3400E+00	7.8731E-03	6.7300E-03	1.4603E-02	
5.3600E+00	8.2773E-03	6.9500E-03	1.5227E-02	
5.3800E+00	8.7575E-03	7.2300E-03	1.5988E-02	
5.4000E+00	9.3110E-03	7.6400E-03	1.6951E-02	
5.4200E+00	9.9173E-03	8.1100E-03	1.8027E-02	
5.4400E+00	1.0572E-02	8.6700E-03	1.9242E-02	
5.4600E+00	1.1201E-02	9.2800E-03	2.0481E-02	
5.4800E+00	1.1759E-02	9.8400E-03	2.1599E-02	
5.5000E+00	1.2254E-02	1.0300E-02	2.2554E-02	
5.5200E+00	1.2689E-02	1.0700E-02	2.3389E-02	
5.5400E+00	1.3074E-02	1.1100E-02	2.4174E-02	
5.5600E+00	1.3532E-02	1.1600E-02	2.5132E-02	
5.5800E+00	1.4079E-02	1.2200E-02	2.6279E-02	
5.6000E+00	1.4769E-02	1.3000E-02	2.7769E-02	
5.6200E+00	1.5613E-02	1.4000E-02	2.9613E-02	
5.6400E+00	1.6618E-02	1.5100E-02	3.1718E-02	
5.6600E+00	1.7805E-02	1.6100E-02	3.3905E-02	
5.6800E+00	1.9187E-02	1.6900E-02	3.6087E-02	
5.7000E+00	2.0496E-02	1.7700E-02	3.8196E-02	
5.7200E+00	2.1547E-02	1.8500E-02	4.0047E-02	
5.7400E+00	2.2553E-02	1.9200E-02	4.1753E-02	
5.7600E+00	2.3508E-02	2.0100E-02	4.3608E-02	
5.7800E+00	2.4408E-02	2.0900E-02	4.5308E-02	
5.8000E+00	2.5512E-02	2.1700E-02	4.7212E-02	
5.8200E+00	2.6579E-02	2.2300E-02	4.8879E-02	
5.8400E+00	2.7450E-02	2.1400E-02	4.8850E-02	
5.8600E+00	2.8177E-02	2.1500E-02	4.9677E-02	
5.8800E+00	2.6915E-02	2.1500E-02	4.8415E-02	
5.9000E+00	2.7270E-02	2.1400E-02	4.8670E-02	
5.9200E+00	2.7478E-02	2.0400E-02	4.7878E-02	
5.9400E+00	2.7530E-02	1.8000E-02	4.5530E-02	
5.9600E+00	2.6798E-02	1.6700E-02	4.3498E-02	
5.9800E+00	2.4245E-02	1.6500E-02	4.0745E-02	
6.0000E+00	2.2694E-02	1.6500E-02	3.9194E-02	
6.0200E+00	2.2326E-02	1.6400E-02	3.8726E-02	
6.0400E+00	2.2234E-02	1.6400E-02	3.8634E-02	
6.0600E+00	2.2222E-02	1.6400E-02	3.8622E-02	
6.0800E+00	2.2280E-02	1.6500E-02	3.8780E-02	
6.1000E+00	2.2410E-02	1.6700E-02	3.9110E-02	
6.1200E+00	2.2629E-02	1.7000E-02	3.9629E-02	
6.1400E+00	2.2962E-02	1.7400E-02	4.0362E-02	
6.1600E+00	2.3384E-02	2.0100E-02	4.3484E-02	
6.1800E+00	2.3885E-02	2.2700E-02	4.6585E-02	
6.2000E+00	2.8103E-02	2.3900E-02	5.2003E-02	
6.2200E+00	3.0792E-02	2.2700E-02	5.3492E-02	
6.2400E+00	3.2109E-02	2.0300E-02	5.2409E-02	
6.2600E+00	2.8956E-02	2.2100E-02	5.1056E-02	
6.2800E+00	2.7399E-02	2.4500E-02	5.1899E-02	
6.3000E+00	2.9717E-02	2.7600E-02	5.7317E-02	
6.3200E+00	3.3299E-02	3.0600E-02	6.3899E-02	
6.3400E+00	3.7934E-02	3.1800E-02	6.9734E-02	
6.3600E+00	3.9601E-02	3.6400E-02	7.6001E-02	
6.3800E+00	3.9814E-02	3.9300E-02	7.9114E-02	
6.4000E+00	4.8743E-02	4.0300E-02	8.9043E-02	
6.4200E+00	5.1915E-02	4.1400E-02	9.3315E-02	
6.4400E+00	5.3315E-02	4.2600E-02	9.5915E-02	
6.4600E+00	5.4897E-02	4.4000E-02	9.8897E-02	
6.4800E+00	5.6576E-02	4.5400E-02	1.0198E-01	
6.5000E+00	5.8233E-02	4.6800E-02	1.0503E-01	
6.5200E+00	5.9963E-02	4.8400E-02	1.0836E-01	
6.5400E+00	6.1785E-02	5.0300E-02	1.1209E-01	
6.5600E+00	6.3871E-02	5.2600E-02	1.1647E-01	
6.5800E+00	6.6547E-02	5.4800E-02	1.2135E-01	
6.6000E+00	6.9972E-02	5.1900E-02	1.2187E-01	
6.6200E+00	7.4076E-02	4.4700E-02	1.1878E-01	
6.6400E+00	6.8580E-02	4.4400E-02	1.1298E-01	
6.6600E+00	6.1895E-02	4.3800E-02	1.0570E-01	
6.6800E+00	6.0612E-02	4.2800E-02	1.0341E-01	
6.7000E+00	6.0277E-02	4.3900E-02	1.0418E-01	
6.7200E+00	6.4128E-02	5.6100E-02	1.2023E-01	
6.7400E+00	7.3515E-02	5.9700E-02	1.3322E-01	
6.7600E+00	8.7871E-02	6.3600E-02	1.5147E-01	
6.7800E+00	9.1065E-02	6.3800E-02	1.5486E-01	
6.8000E+00	9.2472E-02	6.3900E-02	1.5637E-01	
6.8200E+00	9.3014E-02	6.5500E-02	1.5851E-01	
6.8400E+00	9.5041E-02	6.7700E-02	1.6274E-01	
6.8600E+00	9.8648E-02	7.0400E-02	1.6905E-01	
6.8800E+00	1.0191E-01	7.1800E-02	1.7371E-01	
6.9000E+00	1.0426E-01	7.4900E-02	1.7916E-01	
6.9200E+00	1.0955E-01	7.9900E-02	1.8945E-01	
6.9400E+00	1.1818E-01	8.5300E-02	2.0348E-01	
6.9600E+00	1.2787E-01	9.0500E-02	2.1837E-01	
6.9800E+00	1.3491E-01	9.4900E-02	2.2981E-01	
7.0000E+00	1.3636E-01	9.7200E-02	2.3356E-01	
7.0200E+00	1.3806E-01	9.3300E-02	2.3136E-01	
7.0400E+00	1.3270E-01	9.5600E-02	2.2830E-01	
7.0600E+00	1.3711E-01	9.9500E-02	2.3661E-01	
7.0800E+00	1.4303E-01	1.0400E-01	2.4703E-01	
7.1000E+00	1.4993E-01	1.0800E-01	2.5793E-01	
7.1200E+00	1.5783E-01	1.1300E-01	2.7083E-01	
7.1400E+00	1.6566E-01	1.1500E-01	2.8066E-01	
7.1600E+00	1.7184E-01	1.1300E-01	2.8484E-01	
7.1800E+00	1.7116E-01	1.1000E-01	2.8116E-01	
7.2000E+00	1.6534E-01	1.1300E-01	2.7834E-01	
7.2200E+00	1.8103E-01	1.2300E-01	3.0403E-01	
7.2400E+00	2.0086E-01	1.3000E-01	3.3086E-01	
7.2600E+00	2.3406E-01	1.3600E-01	3.7006E-01	
7.2800E+00	2.5780E-01	1.3900E-01	3.9680E-01	
7.3000E+00	2.8219E-01	1.5100E-01	4.3319E-01	
7.3200E+00	2.9401E-01	1.6700E-01	4.6101E-01	
7.3400E+00	2.8036E-01	1.6900E-01	4.4936E-01	
7.3600E+00	2.6904E-01	1.6800E-01	4.3704E-01	
7.3800E+00	2.4675E-01	1.6700E-01	4.1375E-01	
7.4000E+00	2.1311E-01	1.6800E-01	3.8111E-01	
7.4200E+00	2.0005E-01	1.3600E-01	3.3605E-01	
7.4400E+00	1.9565E-01	1.2400E-01	3.1965E-01	
7.4600E+00	1.9760E-01	1.1800E-01	3.1560E-01	
7.4800E+00	1.9990E-01	1.1800E-01	3.1790E-01	
7.5100E+00	1.9962E-01	1.1900E-01	3.1862E-01	
7.5300E+00	1.9629E-01	1.1900E-01	3.1529E-01	
7.5500E+00	1.9499E-01	1.1800E-01	3.1299E-01	
7.5700E+00	1.9693E-01	1.1700E-01	3.1393E-01	
7.5900E+00	2.0222E-01	1.1600E-01	3.1822E-01	
7.6100E+00	2.0923E-01	1.1500E-01	3.2423E-01	
7.6300E+00	2.1846E-01	1.1500E-01	3.3346E-01	
7.6500E+00	2.2009E-01	1.1600E-01	3.3609E-01	
7.6700E+00	2.1343E-01	1.1800E-01	3.3143E-01	
7.6900E+00	2.2015E-01	1.2000E-01	3.4015E-01	
7.7100E+00	2.2534E-01	1.2400E-01	3.4934E-01	
7.7300E+00	2.2617E-01	1.2800E-01	3.5417E-01	
7.7500E+00	2.2192E-01	1.2800E-01	3.4992E-01	
7.7700E+00	2.1665E-01	1.2700E-01	3.4365E-01	
7.7900E+00	2.1442E-01	1.2800E-01	3.4242E-01	
7.8100E+00	2.1653E-01	1.3200E-01	3.4853E-01	
7.8300E+00	2.6231E-01	1.3500E-01	3.9731E-01	
7.8500E+00	1.4515E-01	1.3700E-01	2.8215E-01	
7.8700E+00	1.1701E-01	1.4000E-01	2.5701E-01	
7.8900E+00	1.2612E-01	1.4500E-01	2.7112E-01	
7.9100E+00	1.3329E-01	1.4900E-01	2.8229E-01	
7.9300E+00	1.4067E-01	1.4900E-01	2.8967E-01	
7.9500E+00	1.4817E-01	1.5100E-01	2.9917E-01	
7.9700E+00	1.5547E-01	1.5200E-01	3.0747E-01	
7.9900E+00	1.6214E-01	1.5500E-01	3.1714E-01	
8.0100E+00	1.6514E-01	1.5800E-01	3.2314E-01	
8.0300E+00	1.5908E-01	1.5800E-01	3.1708E-01	
8.0500E+00	1.4641E-01	1.3100E-01	2.7741E-01	
8.0700E+00	1.2971E-01	1.0500E-01	2.3471E-01	
8.0900E+00	1.1764E-01	8.8800E-02	2.0644E-01	
8.1100E+00	1.0944E-01	8.0500E-02	1.8994E-01	
8.1300E+00	1.0242E-01	7.5000E-02	1.7742E-01	
8.1500E+00	9.5999E-02	7.0100E-02	1.6610E-01	
8.1700E+00	9.0282E-02	6.6200E-02	1.5648E-01	
8.1900E+00	8.5401E-02	6.2800E-02	1.4820E-01	
8.2100E+00	8.1531E-02	5.9700E-02	1.4123E-01	
8.2300E+00	7.9112E-02	5.6700E-02	1.3581E-01	
8.2500E+00	7.7499E-02	5.4000E-02	1.3150E-01	
8.2700E+00	7.5871E-02	5.1700E-02	1.2757E-01	
8.2900E+00	7.4229E-02	4.9800E-02	1.2403E-01	
8.3100E+00	7.2573E-02	4.8500E-02	1.2107E-01	
8.3300E+00	7.0902E-02	4.7500E-02	1.1840E-01	
8.3500E+00	6.9217E-02	4.6500E-02	1.1572E-01	
8.3700E+00	6.7518E-02	4.5400E-02	1.1292E-01	
8.3900E+00	6.5806E-02	4.4400E-02	1.1021E-01	
8.4100E+00	6.4081E-02	4.3400E-02	1.0748E-01	
8.4300E+00	6.2342E-02	4.2300E-02	1.0464E-01	
8.4500E+00	6.0590E-02	4.1300E-02	1.0189E-01	
8.4700E+00	5.8825E-02	4.0200E-02	9.9025E-02	
8.4900E+00	5.7049E-02	3.9100E-02	9.6149E-02	
8.5100E+00	5.5365E-02	3.8100E-02	9.3465E-02	
8.5300E+00	5.3894E-02	3.7000E-02	9.0894E-02	
8.5500E+00	5.2689E-02	3.5900E-02	8.8589E-02	
8.5700E+00	5.1827E-02	3.4900E-02	8.6727E-02	
8.5900E+00	5.1155E-02	3.3800E-02	8.4955E-02	
8.6100E+00	5.0530E-02	3.2800E-02	8.3330E-02	
8.6300E+00	4.9954E-02	3.1800E-02	8.1754E-02	
8.6500E+00	4.9427E-02	3.0900E-02	8.0327E-02	
8.6700E+00	4.8978E-02	3.0100E-02	7.9078E-02	
8.6900E+00	4.8683E-02	2.9300E-02	7.7983E-02	
8.7100E+00	4.8549E-02	2.8600E-02	7.7149E-02	
8.7300E+00	4.8575E-02	2.7800E-02	7.6375E-02	
8.7500E+00	4.8592E-02	2.7100E-02	7.5692E-02	
8.7700E+00	4.8593E-02	2.6800E-02	7.5393E-02	
8.7900E+00	4.8578E-02	2.6600E-02	7.5178E-02	
8.8100E+00	4.8548E-02	2.6500E-02	7.5048E-02	
8.8300E+00	4.8501E-02	2.6300E-02	7.4801E-02	
8.8500E+00	4.8439E-02	2.6200E-02	7.4639E-02	
8.8700E+00	4.8361E-02	2.6000E-02	7.4361E-02	
8.8900E+00	4.8267E-02	2.5900E-02	7.4167E-02	
8.9100E+00	4.8158E-02	2.5700E-02	7.3858E-02	
8.9300E+00	4.8032E-02	2.5600E-02	7.3632E-02	
8.9500E+00	4.7891E-02	2.5400E-02	7.3291E-02	
8.9700E+00	4.7735E-02	2.5200E-02	7.2935E-02	
8.9900E+00	4.7562E-02	2.5100E-02	7.2662E-02	
9.0100E+00	4.7374E-02	2.4900E-02	7.2274E-02	
9.0300E+00	4.7171E-02	2.4700E-02	7.1871E-02	
9.0500E+00	4.6951E-02	2.4500E-02	7.1451E-02	
9.0700E+00	4.6717E-02	2.4400E-02	7.1117E-02	
9.0900E+00	4.7316E-02	2.4200E-02	7.1516E-02	
9.1100E+00	5.8822E-02	2.4000E-02	8.2822E-02	
9.1300E+00	6.8765E-02	2.3800E-02	9.2565E-02	
9.1500E+00	7.7906E-02	2.3600E-02	1.0151E-01	
9.1700E+00	8.6606E-02	2.3400E-02	1.1001E-01	
9.1900E+00	1.0441E-01	2.3200E-02	1.2761E-01	
9.2100E+00	1.1219E-01	2.3000E-02	1.3519E-01	
9.2300E+00	1.1581E-01	2.2800E-02	1.3861E-01	
9.2500E+00	1.1983E-01	2.3400E-02	1.4323E-01	
9.2700E+00	1.2387E-01	2.5400E-02	1.4927E-01	
9.2900E+00	1.2254E-01	3.1300E-02	1.5384E-01	
9.3100E+00	1.2310E-01	3.6600E-02	1.5970E-01	
9.3300E+00	1.2438E-01	4.1600E-02	1.6598E-01	
9.3500E+00	1.2560E-01	4.6200E-02	1.7180E-01	
9.3700E+00	1.2674E-01	5.1600E-02	1.7834E-01	
9.3900E+00	1.2782E-01	5.9200E-02	1.8702E-01	
9.4100E+00	1.2885E-01	6.0100E-02	1.8895E-01	
9.4300E+00	1.2995E-01	6.0200E-02	1.9015E-01	
9.4500E+00	1.3099E-01	6.0300E-02	1.9129E-01	
9.4700E+00	1.3247E-01	6.0500E-02	1.9297E-01	
9.4900E+00	1.3786E-01	6.1200E-02	1.9906E-01	
9.5100E+00	1.6223E-01	6.2600E-02	2.2483E-01	
9.5300E+00	1.7412E-01	6.4100E-02	2.3822E-01	
9.5500E+00	1.7559E-01	6.5700E-02	2.4129E-01	
9.5700E+00	1.7594E-01	6.7300E-02	2.4324E-01	
9.5900E+00	1.7669E-01	6.9000E-02	2.4569E-01	
9.6100E+00	1.8096E-01	7.0600E-02	2.5156E-01	
9.6300E+00	1.8763E-01	7.2400E-02	2.6003E-01	
9.6500E+00	1.9514E-01	7.4100E-02	2.6924E-01	
9.6700E+00	2.1087E-01	7.6400E-02	2.8727E-01	
9.6900E+00	2.4392E-01	8.0500E-02	3.2442E-01	
9.7100E+00	2.6139E-01	9.1000E-02	3.5239E-01	
9.7300E+00	2.3775E-01	9.8400E-02	3.3615E-01	
9.7500E+00	2.0472E-01	1.0200E-01	3.0672E-01	
9.7700E+00	2.0693E-01	1.0000E-01	3.0693E-01	
9.7900E+00	2.1125E-01	9.7400E-02	3.0865E-01	
9.8100E+00	2.1770E-01	9.5600E-02	3.1330E-01	
9.8300E+00	2.2625E-01	9.5600E-02	3.2185E-01	
9.8500E+00	2.3793E-01	9.7300E-02	3.3523E-01	
9.8700E+00	2.5379E-01	1.0400E-01	3.5779E-01	
9.8900E+00	2.7610E-01	1.1200E-01	3.8810E-01	
9.9100E+00	3.0105E-01	1.1400E-01	4.1505E-01	
9.9300E+00	3.2085E-01	1.0400E-01	4.2485E-01	
9.9500E+00	3.4449E-01	8.7800E-02	4.3229E-01	
9.9700E+00	4.0670E-01	8.2400E-02	4.8910E-01	
9.9900E+00	4.0497E-01	8.0200E-02	4.8517E-01	
1.0000E+01	4.0450E-01	7.9700E-02	4.8420E-01	
1.0000E+01	4.1131E-01	8.0600E-02	4.9191E-01	
