#  E (eV)	   dosup(E) 	     dosdw(E)	   Int dos(E)	 EFermi =   15.122 eV
5.1200E+00	5.4910E-01	5.3543E-01	1.0845E+00	
5.1400E+00	5.7285E-01	5.5399E-01	1.1268E+00	
5.1600E+00	5.8720E-01	5.8139E-01	1.1686E+00	
5.1800E+00	5.9282E-01	5.9184E-01	1.1847E+00	
5.2000E+00	6.0201E-01	6.0104E-01	1.2031E+00	
5.2200E+00	6.1298E-01	6.1228E-01	1.2253E+00	
5.2400E+00	6.2494E-01	6.2441E-01	1.2494E+00	
5.2600E+00	6.3573E-01	6.3695E-01	1.2727E+00	
5.2800E+00	6.4329E-01	6.4417E-01	1.2875E+00	
5.3000E+00	6.5167E-01	6.5184E-01	1.3035E+00	
5.3200E+00	6.5938E-01	6.5838E-01	1.3178E+00	
5.3400E+00	6.6694E-01	6.6568E-01	1.3326E+00	
5.3600E+00	6.7391E-01	6.7410E-01	1.3480E+00	
5.3800E+00	6.8206E-01	6.8297E-01	1.3650E+00	
5.4000E+00	6.9087E-01	6.9230E-01	1.3832E+00	
5.4200E+00	6.9954E-01	7.0169E-01	1.4012E+00	
5.4400E+00	7.0708E-01	7.0966E-01	1.4167E+00	
5.4600E+00	7.1527E-01	7.1786E-01	1.4331E+00	
5.4800E+00	7.2360E-01	7.2629E-01	1.4499E+00	
5.5000E+00	7.3207E-01	7.3512E-01	1.4672E+00	
5.5200E+00	7.4078E-01	7.4448E-01	1.4853E+00	
5.5400E+00	7.4969E-01	7.5416E-01	1.5039E+00	
5.5600E+00	7.5879E-01	7.6555E-01	1.5243E+00	
5.5800E+00	7.6912E-01	7.8011E-01	1.5492E+00	
5.6000E+00	7.8065E-01	7.9950E-01	1.5802E+00	
5.6200E+00	7.9579E-01	8.2487E-01	1.6207E+00	
5.6400E+00	8.1646E-01	8.5288E-01	1.6693E+00	
5.6600E+00	8.4300E-01	8.7351E-01	1.7165E+00	
5.6800E+00	8.6248E-01	8.9314E-01	1.7556E+00	
5.7000E+00	8.7895E-01	9.1171E-01	1.7907E+00	
5.7200E+00	8.9565E-01	9.1744E-01	1.8131E+00	
5.7400E+00	9.1200E-01	9.2004E-01	1.8320E+00	
5.7600E+00	9.0664E-01	9.4598E-01	1.8526E+00	
5.7800E+00	9.2655E-01	9.9633E-01	1.9229E+00	
5.8000E+00	9.7733E-01	1.0148E+00	1.9921E+00	
5.8200E+00	1.0149E+00	9.9001E-01	2.0049E+00	
5.8400E+00	1.0016E+00	9.1077E-01	1.9124E+00	
5.8600E+00	9.2551E-01	8.8943E-01	1.8149E+00	
5.8800E+00	9.0284E-01	8.7331E-01	1.7762E+00	
5.9000E+00	8.8916E-01	7.5043E-01	1.6396E+00	
5.9200E+00	8.2317E-01	7.5309E-01	1.5763E+00	
5.9400E+00	7.5831E-01	7.5997E-01	1.5183E+00	
5.9600E+00	7.6311E-01	8.0613E-01	1.5692E+00	
5.9800E+00	8.0114E-01	8.3674E-01	1.6379E+00	
6.0000E+00	8.3787E-01	8.4678E-01	1.6847E+00	
6.0200E+00	8.5636E-01	8.5493E-01	1.7113E+00	
6.0400E+00	8.5599E-01	9.0063E-01	1.7566E+00	
6.0600E+00	9.1821E-01	9.5391E-01	1.8721E+00	
6.0800E+00	9.2326E-01	1.0106E+00	1.9339E+00	
6.1000E+00	1.0017E+00	1.0156E+00	2.0173E+00	
6.1200E+00	1.0127E+00	9.8674E-01	1.9994E+00	
6.1400E+00	1.0074E+00	1.0351E+00	2.0425E+00	
6.1600E+00	1.0317E+00	1.0523E+00	2.0840E+00	
6.1800E+00	1.0641E+00	1.0144E+00	2.0785E+00	
6.2000E+00	1.0174E+00	9.9157E-01	2.0090E+00	
6.2200E+00	1.0035E+00	9.8335E-01	1.9869E+00	
6.2400E+00	9.8859E-01	9.7095E-01	1.9595E+00	
6.2600E+00	9.6310E-01	1.0139E+00	1.9770E+00	
6.2800E+00	9.6759E-01	1.0056E+00	1.9732E+00	
6.3000E+00	1.0190E+00	9.9852E-01	2.0175E+00	
6.3200E+00	1.0001E+00	1.0291E+00	2.0292E+00	
6.3400E+00	1.0113E+00	1.0689E+00	2.0802E+00	
6.3600E+00	1.0451E+00	1.0450E+00	2.0901E+00	
6.3800E+00	1.0975E+00	1.0767E+00	2.1742E+00	
6.4000E+00	1.0774E+00	1.1971E+00	2.2745E+00	
6.4200E+00	1.1967E+00	1.1810E+00	2.3777E+00	
6.4400E+00	1.1794E+00	1.1910E+00	2.3704E+00	
6.4600E+00	1.1793E+00	1.1498E+00	2.3291E+00	
6.4800E+00	1.1227E+00	1.1258E+00	2.2485E+00	
6.5000E+00	1.1073E+00	1.1037E+00	2.2110E+00	
6.5200E+00	1.1204E+00	1.1640E+00	2.2844E+00	
6.5400E+00	1.1810E+00	1.2608E+00	2.4418E+00	
6.5600E+00	1.2171E+00	1.3464E+00	2.5635E+00	
6.5800E+00	1.2988E+00	1.3622E+00	2.6610E+00	
6.6000E+00	1.3811E+00	1.3806E+00	2.7617E+00	
6.6200E+00	1.3721E+00	1.4385E+00	2.8106E+00	
6.6400E+00	1.4651E+00	1.5021E+00	2.9672E+00	
6.6600E+00	1.5409E+00	1.5194E+00	3.0603E+00	
6.6800E+00	1.5572E+00	1.5520E+00	3.1092E+00	
6.7000E+00	1.6128E+00	1.5137E+00	3.1265E+00	
6.7200E+00	1.5767E+00	1.5162E+00	3.0929E+00	
6.7400E+00	1.5727E+00	1.4917E+00	3.0644E+00	
6.7600E+00	1.5501E+00	1.4663E+00	3.0164E+00	
6.7800E+00	1.5253E+00	1.4309E+00	2.9562E+00	
6.8000E+00	1.4786E+00	1.4322E+00	2.9108E+00	
6.8200E+00	1.5067E+00	1.4177E+00	2.9244E+00	
6.8400E+00	1.5066E+00	1.4012E+00	2.9078E+00	
6.8600E+00	1.4872E+00	1.4084E+00	2.8956E+00	
6.8800E+00	1.5098E+00	1.4685E+00	2.9783E+00	
6.9000E+00	1.6102E+00	1.5601E+00	3.1703E+00	
6.9200E+00	1.6712E+00	1.5952E+00	3.2664E+00	
6.9400E+00	1.6542E+00	1.5791E+00	3.2333E+00	
6.9600E+00	1.6766E+00	1.6248E+00	3.3014E+00	
6.9800E+00	1.6875E+00	1.6486E+00	3.3361E+00	
7.0000E+00	1.7082E+00	1.5471E+00	3.2553E+00	
7.0200E+00	1.5683E+00	1.3901E+00	2.9584E+00	
7.0400E+00	1.4738E+00	1.3283E+00	2.8021E+00	
7.0600E+00	1.4625E+00	1.3387E+00	2.8012E+00	
